Time (s),ECG,HR GT
1.8700,1112,N/A
1.8725,1132,N/A
1.8750,1201,N/A
1.8775,1283,N/A
1.8800,1239,N/A
1.8825,1232,N/A
1.8850,1216,N/A
1.8875,1216,N/A
1.8900,1220,N/A
1.8925,1266,N/A
1.8950,1340,N/A
1.8975,1393,N/A
1.9000,1393,N/A
1.9025,1344,N/A
1.9050,1244,N/A
1.9075,1136,N/A
1.9100,1082,N/A
1.9125,1076,N/A
1.9150,1120,N/A
1.9175,1185,N/A
1.9200,1248,N/A
1.9225,1250,N/A
1.9250,1216,N/A
1.9275,1168,N/A
1.9300,1140,N/A
1.9325,1160,N/A
1.9350,1242,N/A
1.9375,1352,N/A
1.9400,1408,N/A
1.9425,1424,N/A
1.9450,1417,N/A
1.9475,1412,N/A
1.9500,1346,N/A
1.9525,1292,N/A
1.9550,1328,N/A
1.9575,1440,N/A
1.9600,1554,N/A
1.9625,1688,N/A
1.9650,1809,N/A
1.9675,1832,N/A
1.9700,1696,N/A
1.9725,1508,N/A
1.9750,1346,N/A
1.9775,1177,N/A
1.9800,1032,N/A
1.9825,912,N/A
1.9850,885,N/A
1.9875,786,N/A
1.9900,763,N/A
1.9925,792,N/A
1.9950,892,N/A
1.9975,1044,N/A
2.0000,1170,N/A
2.0025,1228,N/A
2.0050,1200,N/A
2.0075,1152,N/A
2.0100,1116,N/A
2.0125,1160,N/A
2.0150,1307,N/A
2.0175,1457,N/A
2.0200,1516,N/A
2.0225,1504,N/A
2.0250,1472,N/A
2.0275,1450,N/A
2.0300,1433,N/A
2.0325,1496,N/A
2.0350,1669,N/A
2.0375,1842,N/A
2.0400,1882,N/A
2.0425,1756,N/A
2.0450,1524,N/A
2.0475,1228,N/A
2.0500,937,N/A
2.0525,770,N/A
2.0550,789,N/A
2.0575,1003,N/A
2.0600,1300,N/A
2.0625,1572,N/A
2.0650,1696,N/A
2.0675,1600,N/A
2.0700,1360,N/A
2.0725,1138,N/A
2.0750,992,N/A
2.0775,1024,N/A
2.0800,1236,N/A
2.0825,1500,N/A
2.0850,1633,N/A
2.0875,1552,N/A
2.0900,1396,N/A
2.0925,1242,N/A
2.0950,1160,N/A
2.0975,1136,N/A
2.1000,1154,N/A
2.1025,1243,N/A
2.1050,1360,N/A
2.1075,1456,N/A
2.1100,1504,N/A
2.1125,1488,N/A
2.1150,1442,N/A
2.1175,1323,N/A
2.1200,1153,N/A
2.1225,1041,N/A
2.1250,988,N/A
2.1275,976,N/A
2.1300,988,N/A
2.1325,1036,N/A
2.1350,1083,N/A
2.1375,1138,N/A
2.1400,1152,N/A
2.1425,1088,N/A
2.1450,1061,N/A
2.1475,1044,N/A
2.1500,1105,N/A
2.1525,1222,N/A
2.1550,1337,N/A
2.1575,1440,N/A
2.1600,1497,N/A
2.1625,1508,N/A
2.1650,1520,N/A
2.1675,1529,N/A
2.1700,1544,N/A
2.1725,1637,N/A
2.1750,1801,N/A
2.1775,1920,N/A
2.1800,1832,N/A
2.1825,1537,N/A
2.1850,1220,N/A
2.1875,1027,N/A
2.1900,984,N/A
2.1925,1091,N/A
2.1950,1298,N/A
2.1975,1460,N/A
2.2000,1441,N/A
2.2025,1298,N/A
2.2050,1120,N/A
2.2075,993,N/A
2.2100,938,N/A
2.2125,960,N/A
2.2150,1016,N/A
2.2175,1130,N/A
2.2200,1264,N/A
2.2225,1386,N/A
2.2250,1411,N/A
2.2275,1368,N/A
2.2300,1322,N/A
2.2325,1304,N/A
2.2350,1312,N/A
2.2375,1298,N/A
2.2400,1268,N/A
2.2425,1248,N/A
2.2450,1244,N/A
2.2475,1253,N/A
2.2500,1232,N/A
2.2525,1195,N/A
2.2550,1172,N/A
2.2575,1184,N/A
2.2600,1180,N/A
2.2625,1192,N/A
2.2650,1228,N/A
2.2675,1232,N/A
2.2700,1155,N/A
2.2725,1068,N/A
2.2750,1034,N/A
2.2775,1060,N/A
2.2800,1138,N/A
2.2825,1261,N/A
2.2850,1380,N/A
2.2875,1408,N/A
2.2900,1349,N/A
2.2925,1312,N/A
2.2950,1312,N/A
2.2975,1338,N/A
2.3000,1386,N/A
2.3025,1370,N/A
2.3050,1316,N/A
2.3075,1235,N/A
2.3100,1168,N/A
2.3125,1174,N/A
2.3150,1234,N/A
2.3175,1280,N/A
2.3200,1275,N/A
2.3225,1258,N/A
2.3250,1243,N/A
2.3275,1280,N/A
2.3300,1330,N/A
2.3325,1362,N/A
2.3350,1376,N/A
2.3375,1352,N/A
2.3400,1376,N/A
2.3425,1425,N/A
2.3450,1440,N/A
2.3475,1413,N/A
2.3500,1364,N/A
2.3525,1248,N/A
2.3550,1176,N/A
2.3575,1152,N/A
2.3600,1156,N/A
2.3625,1156,N/A
2.3650,1152,N/A
2.3675,1140,N/A
2.3700,1180,N/A
2.3725,1228,N/A
2.3750,1261,N/A
2.3775,1259,N/A
2.3800,1280,N/A
2.3825,1314,N/A
2.3850,1337,N/A
2.3875,1348,N/A
2.3900,1355,N/A
2.3925,1376,N/A
2.3950,1425,N/A
2.3975,1456,N/A
2.4000,1424,N/A
2.4025,1364,N/A
2.4050,1332,N/A
2.4075,1330,N/A
2.4100,1296,N/A
