Time (s),PPG_Red,PPG_IR,PPG_Green,ECG,Temp_Ambient,Temp_Object,SpO2_Ground_Truth
0.6025,28922,30949,103,1081,34.04,30.45,97
0.6050,28922,30973,91,891,34.04,30.45,97
0.6075,28918,30976,53,877,34.04,30.45,97
0.6100,28921,30968,69,768,34.04,30.45,97
0.6125,28907,30967,87,928,34.04,30.45,97
0.6150,28909,30956,85,928,34.04,30.45,97
0.6175,28888,30927,116,554,34.04,30.45,97
0.6200,28900,30909,111,721,34.04,30.45,97
0.6225,28901,30917,81,1608,34.04,30.45,97
0.6250,28905,30952,76,1232,34.04,30.45,97
0.6275,28898,30930,54,988,34.04,30.45,97
0.6300,28919,30917,75,884,34.04,30.45,97
0.6325,28900,30935,72,844,34.04,30.45,97
0.6350,28896,30955,102,984,34.04,30.45,97
0.6375,28898,30964,106,1040,34.04,30.45,97
0.6400,28925,30952,92,1090,34.04,30.45,97
0.6425,28922,30946,65,1188,34.04,30.45,97
0.6450,28903,30944,59,924,34.04,30.45,97
0.6475,28863,30961,88,840,34.04,30.45,97
0.6500,28887,30964,101,724,34.04,30.45,97
0.6525,28908,30948,96,836,34.04,30.45,97
0.6550,28910,30938,97,992,34.04,30.45,97
0.6575,28901,30943,109,1024,34.04,30.45,97
0.6600,28922,30961,64,1122,34.04,30.45,97
0.6625,28937,30967,62,1142,34.04,30.45,97
0.6650,28963,30982,72,941,34.04,30.45,97
0.6675,28957,30979,114,851,34.04,30.45,97
0.6700,28914,30993,78,674,34.04,30.45,97
0.6725,28899,31013,92,819,34.04,30.45,97
0.6750,28925,31016,86,980,34.04,30.45,97
0.6775,28935,31000,91,1004,34.04,30.45,97
0.6800,28950,31009,107,1232,34.04,30.45,97
0.6825,28951,31021,75,1074,34.04,30.45,97
0.6850,28977,31048,87,880,34.04,30.45,97
0.6875,28952,31058,79,869,34.04,30.45,97
0.6900,28967,31051,84,744,34.04,30.45,97
0.6925,28982,31085,80,880,34.04,30.45,97
0.6950,28973,31131,70,1032,34.04,30.45,97
0.6975,29009,31089,82,980,34.04,30.45,97
0.7000,28995,31062,98,1256,34.04,30.45,97
0.7025,29013,31064,125,1042,34.04,30.45,97
0.7050,29003,31080,85,856,34.04,30.45,97
0.7075,29032,31079,71,856,34.04,30.45,97
0.7100,28998,31090,60,776,34.04,30.45,97
0.7125,28992,31086,70,898,34.04,30.45,97
0.7150,28974,31068,98,972,34.04,30.45,97
0.7175,28967,31097,84,972,34.04,30.45,97
0.7200,28950,31079,104,644,34.04,30.45,97
0.7225,28922,30946,65,1345,34.04,30.45,97
0.7250,28979,31100,70,1036,34.04,30.45,97
0.7275,28972,31041,48,896,34.04,30.45,97
0.7300,28985,31053,84,774,34.04,30.45,97
0.7325,28973,31048,76,787,34.04,30.45,97
0.7350,28967,31052,88,952,34.04,30.45,97
0.7375,28964,31058,110,980,34.04,30.45,97
0.7400,28989,31040,96,1144,34.04,30.45,97
0.7425,28973,31037,71,1108,34.04,30.45,97
0.7450,28937,31033,66,908,34.04,30.45,97
0.7475,28947,31049,77,843,34.04,30.45,97
0.7500,28936,31023,77,733,34.04,30.45,97
0.7525,28941,31003,102,836,34.04,30.45,97
0.7550,28960,30988,113,1000,34.04,30.45,97
0.7575,28948,31002,86,1010,34.04,30.45,97
0.7600,28951,31016,63,1244,34.04,30.45,97
0.7625,28963,31020,62,1084,34.04,30.45,97
0.7650,28951,31011,76,891,34.04,30.45,97
0.7675,28980,31024,100,872,34.04,30.45,97
0.7700,28938,31028,83,749,34.04,30.45,97
0.7725,28916,31061,81,882,34.04,30.45,97
0.7750,28924,31039,88,1034,34.04,30.45,97
0.7775,28949,30997,95,988,34.04,30.45,97
0.7800,28950,31009,109,1227,34.04,30.45,97
0.7825,28953,31034,84,1072,34.04,30.45,97
0.7850,28944,31066,59,864,34.04,30.45,97
0.7875,28961,31075,77,858,34.04,30.45,97
0.7900,28975,31087,91,761,34.04,30.45,97
0.7925,28985,31134,88,984,34.04,30.45,97
0.7950,28988,31161,86,1040,34.04,30.45,97
0.7975,28990,31104,90,984,34.04,30.45,97
0.8000,29010,31115,105,1232,34.04,30.45,97
0.8025,29021,31127,107,993,34.04,30.45,97
0.8050,29053,31181,99,876,34.04,30.45,97
0.8075,29045,31220,74,881,34.04,30.45,97
0.8100,29038,31231,75,832,34.04,30.45,97
0.8125,29036,31255,72,968,34.04,30.45,97
0.8150,29034,31275,69,968,34.04,30.45,97
0.8175,29033,31258,109,609,34.04,30.45,97
0.8200,28989,31040,96,1412,34.04,30.45,97
0.8225,29053,31349,91,1230,34.04,30.45,97
0.8250,29072,31355,53,992,34.04,30.45,97
0.8275,29100,31361,86,906,34.04,30.45,97
0.8300,29114,31399,75,788,34.04,30.45,97
0.8325,29128,31452,84,821,34.04,30.45,97
0.8350,29134,31479,110,1003,34.04,30.45,97
0.8375,29173,31494,86,1009,34.04,30.45,97
0.8400,29186,31529,72,1225,34.04,30.45,97
0.8425,29173,31554,68,1072,34.04,30.45,97
0.8450,29171,31599,89,880,34.04,30.45,97
0.8475,29160,31622,92,864,34.04,30.45,97
0.8500,29191,31601,100,770,34.04,30.45,97
0.8525,29208,31617,114,890,34.04,30.45,97
0.8550,29209,31650,82,1028,34.04,30.45,97
0.8575,29213,31674,52,980,34.04,30.45,97
0.8600,29231,31686,62,1260,34.04,30.45,97
0.8625,29253,31683,65,1025,34.04,30.45,97
0.8650,29270,31726,88,856,34.04,30.45,97
0.8675,29228,31701,96,848,34.04,30.45,97
0.8700,29198,31737,85,764,34.04,30.45,97
0.8725,29223,31728,82,952,34.04,30.45,97
0.8750,29236,31718,101,1033,34.04,30.45,97
0.8775,29234,31693,110,976,34.04,30.45,97
0.8800,29240,31714,110,1216,34.04,30.45,97
0.8825,29244,31724,91,992,34.04,30.45,97
0.8850,29222,31753,70,872,34.04,30.45,97
0.8875,29237,31729,67,872,34.04,30.45,97
0.8900,29254,31747,79,848,34.04,30.45,97
0.8925,29271,31768,63,1000,34.04,30.45,97
0.8950,29249,31786,84,1043,34.04,30.45,97
0.8975,29261,31789,81,988,34.04,30.45,97
0.9000,29274,31749,92,1235,34.04,30.45,97
0.9025,29275,31737,108,1020,34.04,30.45,97
0.9050,29295,31731,93,889,34.04,30.45,97
0.9075,29277,31761,79,804,34.04,30.45,97
0.9100,29288,31779,65,832,34.04,30.45,97
0.9125,29285,31793,72,1029,34.04,30.45,97
0.9150,29281,31804,77,976,34.04,30.45,97
0.9175,29269,31793,79,976,34.04,30.45,97
0.9200,29262,31782,114,756,34.04,30.45,97
0.9225,29173,31554,68,1312,34.04,30.45,97
0.9250,29171,31599,89,981,34.04,30.45,97
0.9275,29306,31819,64,912,34.04,30.45,97
0.9300,29313,31807,82,792,34.04,30.45,97
0.9325,29292,31831,89,908,34.04,30.45,97
0.9350,29313,31860,92,998,34.04,30.45,97
0.9375,29322,31882,104,1008,34.04,30.45,97
0.9400,29335,31877,99,1240,34.04,30.45,97
0.9425,29356,31876,85,1032,34.04,30.45,97
0.9450,29321,31887,57,859,34.04,30.45,97
0.9475,29332,31918,83,857,34.04,30.45,97
0.9500,29312,31929,80,800,34.04,30.45,97
0.9525,29332,31903,89,946,34.04,30.45,97
0.9550,29345,31904,112,1008,34.04,30.45,97
0.9575,29350,31920,87,1001,34.04,30.45,97
0.9600,29346,31932,65,1240,34.04,30.45,97
0.9625,29371,31932,59,1008,34.04,30.45,97
0.9650,29372,31939,84,888,34.04,30.45,97
0.9675,29368,31966,83,885,34.04,30.45,97
0.9700,29360,31965,88,816,34.04,30.45,97
0.9725,29350,31988,77,956,34.04,30.45,97
0.9750,29325,32008,81,1025,34.04,30.45,97
0.9775,29364,31961,94,984,34.04,30.45,97
0.9800,29367,31968,116,1196,34.04,30.45,97
0.9825,29363,31999,108,944,34.04,30.45,97
0.9850,29357,31988,81,859,34.04,30.45,97
0.9875,29359,32023,74,802,34.04,30.45,97
0.9900,29375,32010,72,832,34.04,30.45,97
0.9925,29378,32013,91,973,34.04,30.45,97
0.9950,29375,32029,85,1032,34.04,30.45,97
0.9975,29404,32034,83,1061,34.04,30.45,97
1.0000,29375,32061,83,1140,34.04,30.45,97
1.0025,29366,32037,77,942,34.04,30.45,97
1.0050,29402,31984,103,864,34.04,30.45,97
1.0075,29392,32013,111,712,34.04,30.45,97
1.0100,29396,32014,96,834,34.04,30.45,97
1.0125,29412,32049,66,996,34.04,30.45,97
1.0150,29371,32003,58,1040,34.04,30.45,97
1.0175,29376,32024,76,1145,34.04,30.45,97
1.0200,29366,32034,97,1028,34.04,30.45,97
1.0225,29379,32014,73,1028,34.04,30.45,97
1.0250,29355,32012,112,483,34.04,30.45,97
1.0275,29332,31918,83,1114,34.04,30.45,97
1.0300,29312,31929,80,880,34.04,30.45,97
1.0325,29374,32034,63,996,34.04,30.45,97
1.0350,29361,31994,73,1093,34.04,30.45,97
1.0375,29392,32002,74,1041,34.04,30.45,97
1.0400,29366,32015,92,1238,34.04,30.45,97
1.0425,29363,32010,104,992,34.04,30.45,97
1.0450,29373,32006,94,883,34.04,30.45,97
1.0475,29366,32005,67,884,34.04,30.45,97
1.0500,29343,32042,93,836,34.04,30.45,97
1.0525,29345,32042,80,984,34.04,30.45,97
1.0550,29354,32020,95,1044,34.04,30.45,97
1.0575,29377,31982,94,1049,34.04,30.45,97
1.0600,29362,31969,87,1193,34.04,30.45,97
1.0625,29368,31993,67,917,34.04,30.45,97
1.0650,29389,31989,56,707,34.14,30.38,97
1.0675,29358,31976,82,707,34.14,30.38,97
1.0700,29365,31991,95,784,34.14,30.38,97
1.0725,29375,31960,63,944,34.14,30.38,97
1.0750,29397,31957,93,988,34.14,30.38,97
1.0775,29377,31940,90,1088,34.14,30.38,97
1.0800,29327,31945,80,1160,34.14,30.38,97
1.0825,29316,31954,83,892,34.14,30.38,97
1.0850,29324,31926,79,866,34.14,30.38,97
1.0875,29340,31885,99,733,34.14,30.38,97
1.0900,29329,31893,92,856,34.14,30.38,97
1.0925,29330,31908,52,1025,34.14,30.38,97
1.0950,29331,31883,51,1000,34.14,30.38,97
1.0975,29321,31885,84,1152,34.14,30.38,97
1.1000,29315,31884,87,1082,34.14,30.38,97
1.1025,29305,31881,85,885,34.14,30.38,97
1.1050,29309,31897,85,873,34.14,30.38,97
1.1075,29323,31846,98,713,34.14,30.38,97
1.1100,29317,31800,100,855,34.14,30.38,97
1.1125,29325,31818,93,1040,34.14,30.38,97
1.1150,29314,31824,64,996,34.14,30.38,97
1.1175,29297,31805,63,1266,34.14,30.38,97
1.1200,29291,31797,83,1002,34.14,30.38,97
1.1225,29267,31781,101,1002,34.14,30.38,97
1.1250,29274,31761,119,477,34.14,30.38,97
1.1275,29366,32005,67,1110,34.14,30.38,97
1.1300,29343,32042,93,882,34.14,30.38,97
1.1325,29261,31745,71,1032,34.14,30.38,97
1.1350,29246,31703,101,1040,34.14,30.38,97
1.1375,29268,31683,69,996,34.14,30.38,97
1.1400,29252,31699,74,1209,34.14,30.38,97
1.1425,29253,31710,98,994,34.14,30.38,97
1.1450,29250,31708,102,864,34.14,30.38,97
1.1475,29272,31697,94,795,34.14,30.38,97
1.1500,29262,31681,78,788,34.14,30.38,97
1.1525,29232,31716,67,955,34.14,30.38,97
1.1550,29221,31716,67,992,34.14,30.38,97
1.1575,29240,31683,86,1122,34.14,30.38,97
1.1600,29237,31664,102,1136,34.14,30.38,97
1.1625,29223,31666,81,952,34.14,30.38,97
1.1650,29229,31670,68,856,34.14,30.38,97
1.1675,29238,31681,68,694,34.14,30.38,97
1.1700,29249,31667,70,841,34.14,30.38,97
1.1725,29253,31671,91,977,34.14,30.38,97
1.1750,29238,31663,82,1011,34.14,30.38,97
1.1775,29203,31700,91,1229,34.14,30.38,97
1.1800,29203,31670,90,1112,34.14,30.38,97
1.1825,29230,31683,93,907,34.14,30.38,97
1.1850,29231,31645,90,850,34.14,30.38,97
1.1875,29228,31641,110,709,34.14,30.38,97
1.1900,29231,31660,89,840,34.14,30.38,97
1.1925,29222,31662,65,1018,34.14,30.38,97
1.1950,29233,31664,84,1021,34.14,30.38,97
1.1975,29228,31662,99,1260,34.14,30.38,97
1.2000,29229,31691,78,1125,34.14,30.38,97
1.2025,29225,31690,83,912,34.14,30.38,97
